Precinct_name,Contest_title,candidate_name,Party_Code,total_votes
105,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,199
105,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,146
105,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,257
105,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,84
105,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,322
105,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,117
105,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,289
105,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,103
105,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,309
105,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,216
105,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,190
106,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,34
106,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,240
106,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,33
106,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,238
106,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,113
106,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,156
106,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,115
106,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,151
106,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,57
106,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,209
106,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,74
106,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,196
106,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,59
106,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,212
106,"PROPOSITION, VILLAGE OF WEBBERVILLE",Against,,5
106,"PROPOSITION, VILLAGE OF WEBBERVILLE",For,,15
106,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,175
106,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,93
107,"COUNCIL MEMBER, PLACE 3, CITY OF PFLUGERVILLE",Omar Pena,,0
107,"COUNCIL MEMBER, PLACE 3, CITY OF PFLUGERVILLE",Phil Osars Emia,,0
107,"COUNCIL MEMBER, PLACE 5, CITY OF PFLUGERVILLE",Mike Heath,,0
107,"COUNCIL MEMBER, PLACE 5, CITY OF PFLUGERVILLE",Rudy Metayer,,0
107,"PROP. 1, CITY OF PFLUGERVILLE",Against,,0
107,"PROP. 1, CITY OF PFLUGERVILLE",For,,0
107,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,11
107,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,48
107,"PROP. 2, CITY OF PFLUGERVILLE",Against,,0
107,"PROP. 2, CITY OF PFLUGERVILLE",For,,0
107,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,12
107,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,46
107,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,29
107,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,26
107,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,30
107,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,26
107,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,14
107,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,44
107,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,12
107,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,46
107,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,16
107,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,42
107,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,40
107,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,18
108,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,31
108,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",For,,101
108,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",Against,,17
108,"PROP. 2, CONSTITUTIONAL AMENDMENT ELECTION",For,,116
108,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",Against,,70
108,"PROP. 3, CONSTITUTIONAL AMENDMENT ELECTION",For,,63
108,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",Against,,59
108,"PROP. 4, CONSTITUTIONAL AMENDMENT ELECTION",For,,74
108,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",Against,,30
108,"PROP. 5, CONSTITUTIONAL AMENDMENT ELECTION",For,,101
108,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",Against,,55
108,"PROP. 6, CONSTITUTIONAL AMENDMENT ELECTION",For,,78
108,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",Against,,42
108,"PROP. 7, CONSTITUTIONAL AMENDMENT ELECTION",For,,92
108,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",Against,,64
108,"TRAVIS COUNTY BOND PROPOSITION, TRAVIS COUNTY BOND ELECTION",For,,67
109,"PROP. 1, CONSTITUTIONAL AMENDMENT ELECTION",Against,,36
